session_key,d6f23,d6f23
date,2022-07-27 10:20:15.269704,2022-07-27 10:45:28.621196
practice_1_031_0,1,1
practice_1_031_1,0,0
practice_1_031_2,0,0
practice_1_031_3,0,0
practice_1_031_4,0,0
practice_1_031_5,0,0
practice_1_031_6,0,0
practice_1_031_7,0,0
practice_1_031_8,0,0
practice_1_031_9,0,0
practice_1_031_10,0,0
practice_1_031_11,0,0
practice_1_031_12,0,0
practice_1_031_13,0,0
practice_1_031_14,0,0
practice_1_031_15,0,0
practice_1_031_16,0,0
practice_1_031_17,0,0
practice_1_031_18,0,0
practice_1_031_19,0,0
practice_1_031_20,0,0
practice_1_031_21,0,0
practice_1_031_22,0,0
practice_1_031_23,0,0
practice_1_031_24,0,0
practice_1_031_25,0,0
practice_1_031_26,0,0
practice_1_031_27,0,0
practice_1_031_28,0,0
practice_1_031_29,0,0
practice_1_031_30,0,0
practice_1_031_31,0,0
practice_1_031_32,0,0
practice_1_031_33,0,0
practice_1_031_34,0,0
practice_1_031_35,0,0
practice_1_031_36,0,0
practice_1_031_37,0,0
practice_1_031_38,0,0
practice_1_031_39,0,0
practice_1_031_40,0,0
practice_1_031_41,1,1
practice_2_054_0,1,1
practice_2_054_1,0,0
practice_2_054_2,0,0
practice_2_054_3,0,0
practice_2_054_4,0,0
practice_2_054_5,0,0
practice_2_054_6,0,0
practice_2_054_7,0,0
practice_2_054_8,0,0
practice_2_054_9,0,0
practice_2_054_10,0,0
practice_2_054_11,0,0
practice_2_054_12,0,0
practice_2_054_13,0,0
practice_2_054_14,0,0
practice_2_054_15,0,0
practice_2_054_16,0,0
practice_2_054_17,0,0
practice_2_054_18,0,0
practice_2_054_19,1,1
practice_2_054_20,0,0
practice_2_054_21,0,0
practice_2_054_22,0,0
practice_2_054_23,0,0
practice_2_054_24,0,0
practice_2_054_25,0,0
practice_2_054_26,0,0
practice_2_054_27,0,0
practice_2_054_28,0,0
practice_2_054_29,0,0
practice_2_054_30,0,0
practice_2_054_31,0,0
practice_2_054_32,0,0
practice_2_054_33,0,0
practice_2_054_34,0,0
practice_2_054_35,0,0
practice_2_054_36,0,0
practice_2_054_37,0,0
practice_2_054_38,0,0
practice_2_054_39,0,0
practice_2_054_40,0,0
practice_2_054_41,0,0
practice_2_054_42,0,0
practice_2_054_43,0,0
practice_2_054_44,0,0
practice_2_054_45,0,0
practice_2_054_46,0,0
practice_2_054_47,0,0
practice_2_054_48,0,0
practice_2_054_49,0,0
practice_2_054_50,0,0
practice_2_054_51,0,0
practice_2_054_52,0,0
practice_2_054_53,0,0
practice_2_054_54,0,0
practice_2_054_55,0,0
practice_2_054_56,0,0
practice_2_054_57,0,0
practice_2_054_58,0,0
practice_2_054_59,0,0
practice_2_054_60,0,0
practice_2_054_61,0,0
practice_2_054_62,0,0
practice_2_054_63,0,0
practice_2_054_64,0,0
practice_2_054_65,0,0
practice_2_054_66,0,0
practice_2_054_67,1,1
practice_2_054_68,1,1
practice_2_054_69,0,0
practice_2_054_70,0,0
practice_2_054_71,0,0
practice_3_252_0,0,0
practice_3_252_1,0,0
practice_3_252_2,0,0
practice_3_252_3,0,0
practice_3_252_4,0,0
practice_3_252_5,0,0
practice_3_252_6,0,0
practice_3_252_7,0,0
practice_3_252_8,0,0
practice_3_252_9,0,0
practice_3_252_10,0,0
practice_3_252_11,0,0
practice_3_252_12,0,0
practice_3_252_13,0,0
practice_3_252_14,0,0
practice_3_252_15,0,0
practice_3_252_16,0,0
practice_3_252_17,0,0
practice_3_252_18,0,0
practice_3_252_19,0,0
practice_3_252_20,0,0
practice_3_252_21,0,0
practice_3_252_22,0,0
practice_3_252_23,0,0
practice_3_252_24,0,0
practice_3_252_25,0,0
practice_3_252_26,0,0
practice_3_252_27,0,0
practice_3_252_28,0,0
practice_3_252_29,0,0
practice_3_252_30,0,0
practice_3_252_31,0,0
practice_3_252_32,0,0
practice_3_252_33,0,0
practice_3_252_34,0,0
practice_3_252_35,0,0
practice_3_252_36,0,0
practice_3_252_37,0,0
practice_3_252_38,0,0
practice_3_252_39,0,0
practice_3_252_40,0,0
practice_3_252_41,0,0
practice_3_252_42,0,0
practice_3_252_43,0,0
practice_3_252_44,0,0
practice_3_252_45,0,0
practice_3_252_46,0,0
practice_3_252_47,0,0
practice_3_252_48,0,0
practice_3_252_49,0,0
practice_3_252_50,0,0
practice_3_252_51,0,0
practice_3_252_52,0,0
practice_3_252_53,0,0
practice_3_252_54,0,0
