,a2a6a,d5aa6
,2022-05-28 18:25:16,2022-05-29 10:43:44
conv001_0,1,1
conv001_1,0,0
conv001_2,0,0
conv001_3,0,0
conv001_4,0,0
conv001_5,0,0
conv001_6,0,0
conv001_7,0,0
conv001_8,0,0
conv001_9,0,0
conv001_10,0,0
conv001_11,0,0
conv001_12,0,0
conv001_13,0,0
conv001_14,0,0
conv001_15,0,0
conv001_16,0,0
conv001_17,0,0
conv001_18,0,0
conv001_19,0,0
conv001_20,0,0
conv001_21,0,0
conv001_22,0,0
conv001_23,0,0
conv001_24,0,0
conv001_25,0,0
conv001_26,0,0
conv001_27,0,0
conv001_28,0,0
conv001_29,0,0
conv001_30,0,0
conv001_31,1,1
conv002_0,1,1
conv002_1,0,0
conv002_2,0,0
conv002_3,0,0
conv002_4,0,0
conv002_5,0,0
conv002_6,0,0
conv002_7,0,0
conv002_8,0,0
conv002_9,0,0
conv002_10,0,0
conv002_11,0,0
conv002_12,0,0
conv002_13,0,0
conv002_14,0,0
conv002_15,0,0
conv002_16,0,0
conv002_17,0,0
conv002_18,0,0
conv002_19,0,0
conv002_20,0,0
conv002_21,0,0
conv002_22,0,0
conv002_23,0,0
conv002_24,0,0
conv002_25,0,0
conv002_26,0,0
conv002_27,0,0
conv002_28,0,0
conv002_29,0,0
conv002_30,0,0
conv002_31,0,0
conv002_32,0,0
conv002_33,0,0
conv002_34,0,0
conv002_35,0,0
conv002_36,0,0
conv002_37,0,0
conv002_38,0,0
conv002_39,1,1
conv003_0,0,1
conv003_1,0,0
conv003_2,0,0
conv003_3,0,0
conv003_4,0,0
conv003_5,0,0
conv003_6,0,0
conv003_7,0,0
conv003_8,0,0
conv003_9,0,0
conv003_10,0,0
conv003_11,0,0
conv003_12,0,0
conv003_13,0,0
conv003_14,0,0
conv003_15,0,0
conv003_16,0,0
conv003_17,0,0
conv003_18,0,0
conv003_19,0,0
conv003_20,0,0
conv003_21,0,0
conv003_22,0,0
conv003_23,0,0
conv003_24,0,0
conv003_25,0,0
conv003_26,0,0
conv003_27,0,0
conv003_28,0,0
conv003_29,0,1
conv004_0,0,1
conv004_1,0,0
conv004_2,0,0
conv004_3,0,0
conv004_4,0,0
conv004_5,0,0
conv004_6,0,0
conv004_7,0,0
conv004_8,0,0
conv004_9,0,0
conv004_10,0,0
conv004_11,0,0
conv004_12,0,0
conv004_13,0,0
conv004_14,0,0
conv004_15,0,0
conv004_16,0,0
conv004_17,0,0
conv004_18,0,0
conv004_19,0,0
conv004_20,0,0
conv004_21,0,0
conv004_22,0,0
conv004_23,0,0
conv004_24,0,0
conv004_25,0,0
conv004_26,0,0
conv004_27,0,0
conv004_28,0,0
conv004_29,0,0
conv004_30,0,0
conv004_31,0,0
conv004_32,0,0
conv004_33,0,0
conv004_34,0,1
